,Unnamed: 0,video,predictions,true,pred_type,obs
204,204.0,/content/drive/MyDrive/ucf_experiments/data/ViolentFlows-Crowd/data_blur/uniform_samples/test/football_crowds_cheering__Ghana_stars_in_heroes_reception__NTVKenya__RXQA-gagvKI_0_resized_blur.mp4,1.0,0.0,false_positive,crowd
6,6.0,/content/drive/MyDrive/ucf_experiments/data/ViolentFlows-Crowd/data_blur/uniform_samples/test/football_crowds_cheering__Hamburg_Fan_Party_Opening_Match_World_Cup_2006__Dee162__6ROznW9c_0_resized_blur.mp4,1.0,0.0,false_positive,crowd
192,192.0,/content/drive/MyDrive/ucf_experiments/data/ViolentFlows-Crowd/data_blur/uniform_samples/test/stadium_crowds__Bands_talk_about_their_influences_from_Punk_s_Not_Dead__PNDmovie_0_resized_blur.mp4,1.0,0.0,false_positive,crowd
58,58.0,/content/drive/MyDrive/ucf_experiments/data/ViolentFlows-Crowd/data_blur/uniform_samples/test/stadium_crowds__Fulltime_at_Scottish_Cup_Final_Hampden_2010__tattoosyke__7JhKy66_0_resized_blur.mp4,1.0,0.0,false_positive,crowd
39,39.0,/content/drive/MyDrive/ucf_experiments/data/ViolentFlows-Crowd/data_blur/uniform_samples/test/football_crowds_cheering__LSU_Game_Day__LSU__dyxtnGpQ3lg_0_resized_blur.mp4,1.0,0.0,false_positive,crowd
135,135.0,/content/drive/MyDrive/ucf_experiments/data/ViolentFlows-Crowd/data_blur/uniform_samples/test/football_crowds__HARRY_KEWELL_SCORES_CROWD_GO_NUTS__phillipstama__K7qlpU7tMhQ_0_resized_blur.mp4,1.0,0.0,false_positive,crowd
34,34.0,/content/drive/MyDrive/ucf_experiments/data/ViolentFlows-Crowd/data_blur/uniform_samples/test/football_crowds_cheering__Drill_Team_cheering_2_9_24_09__GHSClassOf09__qX4tQ1OHw3c_0_resized_blur.mp4,1.0,0.0,false_positive,crowd
48,48.0,/content/drive/MyDrive/ucf_experiments/data/ViolentFlows-Crowd/data_blur/uniform_samples/test/football_crowds_cheering__LIVE_SQUAD_Morgan_State_University_Band_Pep_Club__DShock17__2x96_0_resized_blur.mp4,1.0,0.0,false_positive,crowd
17,17.0,/content/drive/MyDrive/ucf_experiments/data/ViolentFlows-Crowd/data_blur/uniform_samples/test/stadium_crowds__HARRY_KEWELL_SCORES_CROWD_GO_NUTS__phillipstama__K7qlpU7tMhQ_0_resized_blur.mp4,1.0,0.0,false_positive,crowd
189,189.0,/content/drive/MyDrive/ucf_experiments/data/ViolentFlows-Crowd/data_blur/uniform_samples/test/football_crowds_cheering__Human_LCD_Close_Up_Video_SOUTH_KOREA__rnqhdtnr__7Jgkm2pdWgY_0_resized_blur.mp4,1.0,0.0,false_positive,crowd
